id,kural_tamil,kural_english,meaning_tamil,meaning_english,audio_tamil_url,audio_english_url,youtube_tamil_url,youtube_english_url
1,அகர முதல எழுத்தெல்லாம் ஆதி\nபகவன் முதற்றே உலகு.,அகர முதல எழுத்தெல்லாம் ஆதி\nபகவன் முதற்றே உலகு.,"எழுத்துகளில் ‘அ’ எப்படி ஆரம்பமாக இருக்கிறதோ, அதுபோலவே இந்த உலகத்தின் ஆரம்பம் கடவுளே","Just as 'A' is the first of all letters, So is God the first and origin of the world",https://github.com/Thirukuraliq/LearnKural/blob/ce9541a2857bba6f8b365eca01c5146476b25e96/kural1.mp3,https://github.com/Thirukuraliq/LearnKural/blob/ce9541a2857bba6f8b365eca01c5146476b25e96/kural1.mp3,https://youtu.be/BbP1L0LKr_o,https://youtu.be/qqQ35bQLvkI
2,கற்றதனால் ஆய பயனென்கொல் வாலறிவன்\nநற்றாள் தொழாஅ ரெனின்.,கற்றதனால் ஆய பயனென்கொல் வாலறிவன்\nநற்றாள் தொழாஅ ரெனின்.,"ஒருவன் எவ்வளவு கல்வி கற்றிருந்தாலும், நல்லோரின் பாதங்களை வணங்காதவன் (அறம் மற்றும் நற்பண்புகளை மதிக்காதவன்) என்றால், அவன் கல்வியால் என்ன பயன்?","No matter how much education a person has, if he does not show respect to the noble and virtuous (those who uphold righteousness and good character), then what is the use of his learning?",https://github.com/Thirukuraliq/LearnKural/blob/299af2d7ef3e71b95551c411c954f44a65550fcf/kural2.mp3,https://github.com/Thirukuraliq/LearnKural/blob/299af2d7ef3e71b95551c411c954f44a65550fcf/kural2.mp3,https://youtu.be/xt9Kq0mcC-E,https://youtu.be/r8j6YSK3byM
3,மலர்மிசை ஏகினான் மாணடி சேர்ந்தார்\nநிலமிசை நீடுவாழ் வார்.,மலர்மிசை ஏகினான் மாணடி சேர்ந்தார்\nநிலமிசை நீடுவாழ் வார்.,"ஒருவர் உயர்ந்த நற்பண்புகளைக் கொண்ட கடவுளின் அடியை அடைந்தால் (அதாவது தர்மத்தின் பாதையில் நடக்கத் தெரிந்தால்), அவருடைய வாழ்வு நிலையாகும், நீடித்தும் சிறப்பாகவும் இருக்கும். இது அறத்தின் முக்கியத்துவத்தை வலியுறுத்தும் குறள்களில் ஒன்று.","If a person reaches the feet of the divine—meaning, if they learn to walk the path of righteousness and virtue—their life will become stable, long-lasting, and meaningful. This is one of the Kurals that emphasizes the importance of living a virtuous life.",https://github.com/Thirukuraliq/LearnKural/blob/55007a8ea61918707b1120db9b21eab196699a7b/kural3.mp3,https://github.com/Thirukuraliq/LearnKural/blob/55007a8ea61918707b1120db9b21eab196699a7b/kural3.mp3,https://youtu.be/cV2eKkyJ6lo,https://youtu.be/e3Cbcd2m8uY
4,வேண்டுதல் வேண்டாமை இலான்அடி சேர்ந்தார்க்கு\nயாண்டும் இடும்பை இல.,வேண்டுதல் வேண்டாமை இலான்அடி சேர்ந்தார்க்கு\nயாண்டும் இடும்பை இல.,விருப்பும் வெறுப்பும் இல்லாத கடவுளின் அடிகளைச் சேர்ந்தவர்களுக்கு எக்காலத்திலும் துன்பம் இல்லை.,"To those who have reached the feet of Him who is void of desire or aversion, evil shall never come.",https://github.com/Thirukuraliq/LearnKural/blob/cde404f40763c99ac5c778797302bb798553d575/kural4.mp3,https://github.com/Thirukuraliq/LearnKural/blob/cde404f40763c99ac5c778797302bb798553d575/kural4.mp3,https://youtu.be/n0H7t31xMrs,https://youtu.be/R-SmcEh8f7U
5,இருள்சேர் இருவினையும் சேரா இறைவன்\nபொருள்சேர் புகழ்தல் புரிந்தார் மாட்டு.,இருள்சேர் இருவினையும் சேரா இறைவன்\nபொருள்சேர் புகழ்தல் புரிந்தார் மாட்டு.,கடவுளின் உண்மைப் புகழ்களை விரும்பிப் போற்றுபவரிடம் அறியாமையால் வரும் இருவகை வினைகளும் சேர்வதில்லை.,The two-fold deeds that spring from darkness shall not adhere to those who delight in praising the true glory of God.,https://github.com/Thirukuraliq/LearnKural/blob/cde404f40763c99ac5c778797302bb798553d575/kural5.mp3,https://github.com/Thirukuraliq/LearnKural/blob/cde404f40763c99ac5c778797302bb798553d575/kural5.mp3,https://youtu.be/Oy8_uyW-i-I,https://youtu.be/olIoA8r1emc
6,பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க\nநெறிநின்றார் நீடுவாழ் வார்.,பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க\nநெறிநின்றார் நீடுவாழ் வார்.,ஐம்புல ஆசைகளை ஒழித்தவனின் பொய்யற்ற ஒழுக்க வழியில் நின்றவர் நிலையான வாழ்வைப் பெறுவர்.,They shall live long who abide in the faultless way of Him who has subdued the five senses.,https://github.com/Thirukuraliq/LearnKural/blob/38144f1e8355c39764a65532c1fb3222eed8a264/kural6.mp3,https://github.com/Thirukuraliq/LearnKural/blob/38144f1e8355c39764a65532c1fb3222eed8a264/kural6.mp3,https://youtu.be/27phwklX7bs,https://youtu.be/27phwklX7bs
7,தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால்\nமனக்கவலை மாற்றல் அரிது.,தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால்\nமனக்கவலை மாற்றல் அரிது.,"தனக்கு இணையில்லாதவனின் அடிகளைச் சேர்ந்தவர்க்கல்லாமல், மற்றவர்களுக்கு மனக்கவலையை நீக்குதல் அரிது.","Anxiety of mind cannot be removed, except from those who are united to the feet of Him to whom there is no likeness.",,,,
8,அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால்\nபிறவாழி நீந்தல் அரிது.,அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால்\nபிறவாழி நீந்தல் அரிது.,"அறக்கடலாகிய அந்தணனின் அடிகளைச் சேர்ந்தவர்க்கல்லாமல், மற்றவர்களுக்குப் பிறவியாகிய கடலை நீந்திக் கடப்பது அரிது.","It is impossible to swim the sea of births, except by those who are united to the feet of the gracious Being who is a sea of virtue.",,,,
9,கோளில் பொறியின் குணமிலவே எண்குணத்தான்\nதாளை வணங்காத் தலை.,கோளில் பொறியின் குணமிலவே எண்குணத்தான்\nதாளை வணங்காத் தலை.,"எட்டு குணங்களை உடையவனின் அடிகளை வணங்காத தலை, பயனற்ற புலன்களைப் போல எந்த நற்குணமும் இல்லாதது.","The head that bows not before the feet of Him who is possessed of eight attributes, is like a sense without the power of perception.",,,,
10,பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார்\nஇறைவன் அடிசேரா தார்.,பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார்\nஇறைவன் அடிசேரா தார்.,இறைவனின் அடிகளைச் சேர்ந்தவர் பிறவியாகிய பெரிய கடலை நீந்திக் கடப்பர்; சேராதவர் நீந்த மாட்டார்.,They alone can cross the great sea of births who are united to the feet of God; none else can do so.,,,,
